numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20201105180000;103650;-60;6;60;2.500000;279.550000;276.550000;81;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;102750;mq;mq;10;273.850000;mq;283.950000;mq;273.150000;mq;mq;3.000000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20201105180000;103710;-50;6;40;2.400000;280.550000;277.650000;82;14690;0;mq;mq;mq;0;mq;mq;mq;mq;103120;mq;mq;90;272.450000;mq;284.250000;mq;271.250000;mq;mq;2.900000;5.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20201105180000;103450;-80;6;80;8.100000;284.450000;278.950000;69;12000;1;0;mq;50;4;800;32;20;10;103340;mq;mq;-190;282.550000;mq;286.950000;mq;mq;mq;mq;11.900000;12.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20201105180000;103450;-110;6;60;4.300000;281.750000;274.650000;61;51430;0;mq;mq;mq;0;mq;mq;mq;mq;102620;mq;mq;-140;273.750000;mq;284.350000;mq;276.150000;mq;mq;7.100000;7.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20201105180000;103530;-90;6;40;5.400000;279.450000;275.350000;75;32950;0;mq;mq;mq;0;mq;mq;mq;mq;101630;mq;mq;-70;274.350000;mq;284.350000;mq;275.150000;mq;mq;6.900000;6.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20201105180000;103560;-30;5;150;0.500000;278.250000;273.450000;71;20000;0;mq;mq;mq;0;mq;mq;mq;mq;102360;mq;mq;40;274.250000;mq;284.650000;mq;273.150000;mq;mq;1.200000;3.500000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20201105180000;103200;-130;5;60;4.700000;280.850000;276.650000;75;50890;0;mq;mq;mq;0;mq;mq;mq;mq;101980;mq;mq;-360;277.450000;mq;284.950000;mq;272.150000;mq;mq;7.100000;10.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20201105180000;103190;-160;6;70;8.700000;284.250000;278.950000;70;25000;2;0;0;25;2;800;31;mq;mq;102480;mq;mq;-350;282.650000;mq;285.550000;mq;mq;mq;mq;14.900000;15.200000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20201105180000;103180;-120;6;40;4.000000;281.850000;275.150000;63;27040;0;mq;mq;mq;0;mq;mq;mq;mq;102720;mq;mq;-260;276.350000;mq;285.850000;mq;277.150000;mq;mq;6.200000;9.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20201105180000;103320;-110;6;30;4.100000;280.150000;275.850000;74;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101520;mq;mq;-170;275.950000;mq;284.250000;mq;280.850000;mq;mq;6.000000;6.600000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20201105180000;103460;-40;6;50;4.300000;281.450000;276.250000;70;21670;2;0;0;0;0;mq;30;20;10;102340;mq;mq;-30;277.150000;mq;284.950000;mq;mq;mq;mq;5.900000;7.300000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20201105180000;103400;-20;6;60;3.500000;281.450000;276.050000;69;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101940;mq;mq;-20;273.250000;mq;285.550000;mq;271.750000;mq;mq;5.900000;6.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20201105180000;103510;-30;6;60;3.800000;280.250000;275.350000;71;60000;0;mq;mq;mq;1;450;mq;mq;mq;99300;mq;mq;110;272.150000;mq;283.950000;mq;272.650000;mq;mq;6.100000;6.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20201105180000;103600;20;1;30;5.900000;280.750000;276.950000;77;29690;0;mq;mq;mq;0;mq;mq;mq;mq;101720;mq;mq;240;277.350000;mq;285.550000;mq;276.850000;mq;mq;8.800000;8.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20201105180000;102940;-60;6;60;10.200000;283.550000;276.850000;63;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102410;mq;mq;-420;280.450000;mq;285.550000;mq;mq;mq;mq;15.400000;16.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20201105180000;102970;-30;5;60;4.700000;282.750000;277.350000;69;35180;0;mq;mq;mq;0;mq;mq;mq;mq;102650;mq;mq;-320;278.250000;mq;285.250000;mq;276.550000;mq;mq;8.300000;8.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20201105180000;103140;-50;6;60;6.400000;283.050000;278.850000;75;37950;0;mq;mq;100;8;800;mq;mq;mq;101760;mq;mq;-170;277.250000;mq;284.850000;mq;277.050000;mq;mq;9.300000;10.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20201105180000;103160;-50;6;70;3.400000;283.150000;279.450000;78;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101130;mq;mq;-90;277.450000;mq;284.450000;mq;276.450000;mq;mq;5.900000;6.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20201105180000;103250;-10;0;20;3.700000;282.150000;279.050000;81;42780;0;mq;mq;mq;1;4140;mq;mq;mq;100470;mq;mq;90;278.450000;mq;286.050000;mq;282.350000;mq;mq;5.400000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;4140;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20201105180000;103440;-20;7;350;1.000000;282.350000;279.750000;84;20000;1;2;2;100;8;mq;35;mq;mq;100100;mq;mq;240;279.350000;mq;283.650000;mq;280.150000;mq;mq;1.500000;2.400000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;700;8;6;1000;mq;mq;mq;mq;mq;mq;
07314;20201105180000;102770;-50;6;70;6.100000;284.750000;279.850000;72;13000;2;0;mq;10;1;800;31;20;10;102490;mq;mq;-360;280.550000;mq;285.850000;mq;mq;mq;mq;11.600000;12.300000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;700;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20201105180000;102990;0;0;60;4.100000;281.850000;277.650000;75;39680;0;mq;mq;mq;0;mq;mq;mq;mq;101510;mq;mq;-210;275.750000;mq;284.850000;mq;277.850000;mq;mq;7.600000;10.200000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20201105180000;102790;0;5;60;4.900000;282.550000;278.750000;77;19920;0;mq;mq;mq;0;mq;mq;mq;mq;97940;mq;mq;-170;277.750000;mq;287.150000;mq;277.850000;mq;mq;7.400000;8.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20201105180000;103100;-10;6;230;1.200000;280.250000;277.350000;82;25810;0;mq;mq;mq;0;mq;mq;mq;mq;99110;mq;mq;-10;279.250000;mq;284.850000;mq;277.450000;mq;mq;1.600000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20201105180000;mq;50;3;90;1.200000;279.250000;278.650000;96;4640;10;mq;mq;100;8;80;mq;mq;mq;93310;mq;905;190;277.450000;mq;279.650000;mq;279.650000;mq;mq;2.300000;2.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20201105180000;103160;10;0;340;2.300000;284.150000;280.050000;76;40000;2;2;2;100;8;mq;35;mq;mq;100250;mq;mq;210;281.050000;mq;285.250000;mq;mq;mq;mq;3.400000;3.400000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;6;780;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20201105180000;102600;-50;6;50;2.300000;284.850000;279.950000;72;22120;0;mq;mq;mq;0;mq;mq;mq;mq;102010;mq;mq;-310;277.250000;mq;287.950000;mq;279.950000;mq;mq;3.400000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20201105180000;102640;-30;5;90;0.900000;285.050000;281.750000;80;20000;0;mq;mq;100;8;4320;mq;mq;mq;99500;mq;mq;-120;275.650000;mq;289.450000;mq;278.550000;mq;mq;1.300000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;4320;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20201105180000;102740;50;3;120;3.700000;285.050000;281.850000;81;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;94430;mq;mq;240;278.050000;mq;289.850000;mq;277.850000;mq;mq;6.000000;6.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20201105180000;103080;90;3;10;4.000000;284.850000;280.350000;74;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;102170;mq;mq;320;282.150000;mq;286.950000;mq;281.650000;mq;mq;7.000000;7.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20201105180000;mq;140;2;360;1.300000;282.950000;277.950000;71;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;92780;mq;899;410;275.450000;mq;290.650000;mq;279.350000;mq;mq;1.900000;2.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20201105180000;102550;-20;5;60;1.700000;281.950000;279.350000;84;40850;0;mq;mq;mq;0;mq;mq;mq;mq;101820;mq;mq;-260;273.150000;mq;289.350000;mq;279.850000;mq;mq;1.900000;2.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20201105180000;102510;-40;8;350;0.700000;282.550000;279.950000;84;21930;0;mq;mq;mq;0;mq;mq;mq;mq;98130;mq;mq;-230;274.750000;mq;287.450000;mq;278.250000;mq;mq;1.000000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20201105180000;102560;-30;7;160;0.800000;282.150000;280.750000;91;16480;0;mq;mq;mq;0;mq;mq;mq;mq;97580;mq;mq;-210;274.250000;mq;289.350000;mq;278.750000;mq;mq;1.600000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20201105180000;102590;0;5;120;1.400000;285.850000;281.350000;74;15920;0;mq;mq;mq;0;mq;mq;mq;mq;100780;mq;mq;-140;276.650000;mq;289.550000;mq;278.950000;mq;mq;3.400000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07643;20201105180000;102850;70;3;50;4.800000;287.550000;281.250000;66;59410;0;mq;mq;mq;0;mq;mq;mq;mq;102750;mq;mq;320;284.350000;mq;293.550000;mq;282.150000;mq;mq;6.600000;6.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20201105180000;102830;80;3;200;1.600000;286.450000;283.250000;81;14000;0;mq;mq;mq;0;mq;mq;mq;mq;102440;mq;mq;400;280.550000;mq;293.050000;mq;279.550000;mq;mq;2.200000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20201105180000;mq;mq;mq;10;1.400000;mq;mq;mq;20000;1;0;mq;0;0;mq;30;20;10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1.700000;1.900000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20201105180000;102850;90;3;330;2.700000;289.250000;285.450000;78;40000;1;0;0;0;0;mq;30;20;10;102540;mq;mq;410;287.450000;mq;293.950000;mq;285.650000;mq;mq;4.000000;4.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20201105180000;102830;50;3;320;0.600000;287.450000;283.050000;75;47620;0;mq;mq;100;8;1250;mq;mq;mq;102300;mq;mq;240;282.450000;mq;289.750000;mq;285.150000;mq;mq;1.000000;1.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1290;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20201105180000;102750;90;3;60;2.500000;287.650000;285.850000;89;7250;0;mq;mq;mq;4;1750;mq;mq;mq;102640;mq;mq;440;284.350000;mq;294.550000;mq;283.950000;mq;mq;3.500000;3.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;4;mq;1500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20201105180000;102840;120;3;240;2.300000;287.350000;284.150000;81;10310;0;mq;mq;mq;5;1750;mq;mq;mq;102690;mq;mq;490;284.650000;mq;293.650000;mq;287.650000;mq;mq;2.800000;2.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;5;mq;1560;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61968;20201105180000;101390;80;2;90;4.400000;299.350000;295.250000;78;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101340;mq;mq;-130;mq;298.650000;mq;304.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61972;20201105180000;101370;10;2;110;1.900000;297.250000;293.750000;81;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101300;mq;mq;-190;mq;293.050000;mq;300.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61976;20201105180000;101700;120;1;130;7.300000;298.550000;294.650000;79;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101610;mq;mq;0;mq;296.950000;mq;303.150000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61980;20201105180000;101930;140;1;150;4.400000;295.050000;289.350000;70;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101780;mq;mq;-20;mq;mq;mq;mq;mq;mq;mq;6.500000;9.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20201105180000;102060;30;8;230;3.800000;282.550000;279.450000;81;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101700;mq;mq;10;mq;280.550000;mq;288.250000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20201105180000;mq;240;2;240;5.100000;275.250000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100400;mq;mq;1880;mq;275.250000;mq;277.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20201105180000;100160;170;3;280;10.300000;276.350000;269.750000;62;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99790;mq;mq;mq;mq;mq;284.250000;mq;mq;mq;mq;mq;18.000000;-10;mq;mq;mq;mq;0.000000;mq;mq;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20201105180000;103790;-130;6;220;8.100000;278.150000;269.850000;55;50000;1;0;0;40;2;1250;35;23;10;103700;mq;mq;1050;273.850000;mq;278.850000;mq;273.850000;mq;mq;11.000000;11.500000;-10;11;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;6;1200;2;3;2000;mq;mq;mq;mq;mq;mq;
78890;20201105180000;101170;240;6;170;1.400000;300.150000;297.250000;84;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100850;mq;mq;-210;mq;296.850000;mq;303.050000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2.400000;2.400000;2.400000;10.400000;14.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78894;20201105180000;101220;230;8;110;2.600000;302.650000;296.850000;71;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100710;mq;mq;-270;mq;297.350000;mq;304.950000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20201105180000;101150;-270;7;120;5.300000;302.950000;295.650000;65;55080;mq;mq;mq;mq;mq;mq;mq;mq;mq;101060;mq;mq;-270;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20201105180000;101160;220;8;130;6.300000;301.850000;294.650000;65;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100720;mq;mq;-220;mq;298.850000;mq;303.050000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20201105180000;101130;-220;6;120;7.300000;303.450000;295.350000;62;33390;0;mq;mq;mq;5;1250;mq;mq;mq;101040;mq;mq;-200;295.650000;mq;303.950000;mq;mq;mq;mq;10.100000;10.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;5;mq;1080;5;mq;1290;mq;mq;mq;mq;mq;mq;
81401;20201105180000;100900;220;6;50;1.700000;298.450000;297.450000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100840;mq;mq;-30;mq;296.650000;mq;305.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.800000;0.800000;0.800000;0.800000;2.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20201105180000;100850;-300;6;90;2.900000;300.650000;297.750000;84;59950;0;mq;mq;mq;1;250;mq;mq;mq;100760;mq;mq;-110;mq;mq;mq;mq;298.850000;mq;mq;4.700000;6.700000;-10;mq;mq;mq;mq;0.000000;8.400000;8.600000;9.600000;10.200000;mq;mq;mq;mq;1;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81408;20201105180000;100750;370;6;200;1.100000;302.150000;298.950000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100670;mq;mq;-220;mq;297.550000;mq;304.050000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20201105180000;100770;420;6;60;1.000000;304.250000;295.850000;61;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99580;mq;mq;-40;296.050000;mq;304.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;14.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20201105180000;96820;110;2;140;12.300000;255.950000;247.950000;46;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;96270;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;20.100000;26.200000;-60;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07005;20201105210000;103610;-50;7;60;3.400000;278.050000;276.350000;89;16440;0;mq;mq;mq;mq;mq;mq;mq;mq;102700;mq;mq;-200;mq;mq;mq;mq;276.150000;mq;mq;4.900000;4.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20201105210000;103670;-40;8;60;1.400000;278.250000;275.550000;83;10130;0;mq;mq;mq;0;mq;mq;mq;mq;103080;mq;mq;-110;mq;mq;mq;mq;274.450000;mq;mq;2.100000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20201105210000;103330;-120;6;80;9.800000;284.550000;277.950000;64;18000;1;0;mq;0;0;mq;30;20;10;103220;mq;mq;-470;mq;mq;mq;mq;mq;mq;mq;14.100000;15.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20201105210000;103400;-60;6;80;4.100000;279.750000;275.050000;72;30590;0;mq;mq;mq;0;mq;mq;mq;mq;102560;mq;mq;-400;mq;mq;mq;mq;278.450000;mq;mq;6.600000;7.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20201105210000;103490;-40;6;70;5.100000;278.350000;275.550000;82;19980;0;mq;mq;mq;0;mq;mq;mq;mq;101590;mq;mq;-280;mq;mq;mq;mq;276.950000;mq;mq;6.800000;8.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20201105210000;103570;0;5;80;1.500000;275.550000;273.250000;85;20000;0;mq;mq;mq;0;mq;mq;mq;mq;102360;mq;mq;-130;mq;mq;mq;mq;272.850000;mq;mq;2.600000;2.600000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20201105210000;103050;-150;8;50;6.100000;280.350000;276.950000;79;36300;0;mq;mq;mq;0;mq;mq;mq;mq;101830;mq;mq;-670;mq;mq;mq;mq;276.850000;mq;mq;9.400000;9.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20201105210000;103080;-110;8;80;9.600000;284.150000;278.450000;68;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102370;mq;mq;-630;mq;mq;mq;mq;mq;mq;mq;14.900000;16.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20201105210000;103090;-90;8;50;5.500000;280.550000;275.650000;71;18960;0;mq;mq;mq;0;mq;mq;mq;mq;102630;mq;mq;-570;mq;mq;mq;mq;279.050000;mq;mq;9.600000;10.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
